tripId,UnixTimeMillis,LatitudeDegrees,LongitudeDegrees, Height, Heading
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045253440,37.4282903000,-122.0725281000,-28.208, 238.6
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045254440,37.4282902000,-122.0725281000,-28.209, 238.6
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045255440,37.4282895000,-122.0725289000,-28.221, 238.3
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045256440,37.4282826000,-122.0725375000,-28.208, 233.0
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045257440,37.4282717000,-122.0725548000,-28.189, 233.9
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045258440,37.4282673000,-122.0725841000,-28.239, 255.6
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045259440,37.4282774000,-122.0726213000,-28.183, 286.5
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045260440,37.4283042000,-122.0726667000,-28.231, 306.0
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045261440,37.4283392000,-122.0727336000,-28.313, 301.2
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045262440,37.4283688000,-122.0728241000,-28.401, 288.5
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045263440,37.4283836000,-122.0729343000,-28.472, 275.8
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045264440,37.4283872000,-122.0730581000,-28.441, 270.4
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045265440,37.4283855000,-122.0731938000,-28.345, 268.8
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045266440,37.4283830000,-122.0733396000,-28.184, 269.0
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045267440,37.4283820000,-122.0734955000,-28.074, 269.5
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045268440,37.4283813000,-122.0736616000,-28.020, 269.7
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045269440,37.4283808000,-122.0738303000,-28.074, 269.8
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045270440,37.4283803000,-122.0739986000,-28.194, 269.7
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045271440,37.4283793000,-122.0741726000,-28.281, 269.5
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045272440,37.4283783000,-122.0743511000,-28.360, 269.6
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1593045273440,37.4283776000,-122.0745339000,-28.488, 269.9
