tripId,UnixTimeMillis,LatitudeDegrees,LongitudeDegrees
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42829497,-122.0725265
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42828973,-122.0725225
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42828467,-122.0725249
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42827849,-122.0725311
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42826916,-122.0725474
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42826558,-122.0725786
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42827763,-122.0726153
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42830463,-122.0726597
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42833948,-122.072728
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837125,-122.0728192
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838467,-122.0729308
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838825,-122.0730542
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838607,-122.0731909
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838327,-122.0733372
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838282,-122.0734936
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838216,-122.0736604
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.4283807,-122.0738295
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.4283803,-122.0739974
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837957,-122.0741716
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837831,-122.0743499
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837754,-122.0745323
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837785,-122.0747219
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837989,-122.0749182
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838116,-122.0751203
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838229,-122.0753244
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838341,-122.0755273
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838397,-122.0757292
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838456,-122.0759291
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838387,-122.0761262
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837634,-122.0763223
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42835715,-122.0765174
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42832364,-122.0767096
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42828047,-122.0768965
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42823354,-122.0770808
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42819042,-122.077251
